 ,Title,genres,original_language,overview,poster_path
1264,Ailey,Documentary,en,"Alvin Ailey was a visionary artist who found salvation through dance. Told in his own words and through the creation of a dance inspired by his life, this immersive portrait follows a man who, when confronted by a world that refused to embrace him, determined to build one that would.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTAJanLYgD_t4KvG_W8O1RkFECSormlvd7qm9FBPh3JJBcT6pQ2xLjqgyzGlMiuywQnBaCX_Q
1273,Enemies of the State,Documentary,en,"From the outside, the DeHart’s were an All-American family. Parents Paul and Leann were U.S. Military members, and son Matt was obsessed with computers from an early age. As a military family, they moved around during Matt’s adolescence, and Matt really grew up online. When Matt’s work with the hacker collective Anonymous rouses the suspicions of the U.S. government, the family is drawn into a bizarre web of secrets and espionage.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhH7cbBWP2eAZ1h_ooWGvjnwdBKNwujkz6Fg&s
1280,Homeroom,Documentary,en,"Following the class of 2020 at Oakland High School in a year marked by seismic change, exploring the emotional world of teenagers coming of age against the backdrop of a rapidly changing world.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQz3uFwn1CtXUF6QAMeOV1Wm2msm6_etwoZXuwQy5OmrNICWA9uI-Jh96chN8VsBO44iv3y
1286,Not Going Quietly,Documentary,en,"An intimate, inspiring look at activist and loving father Ady Barkan, diagnosed with ALS at age 32 and who, in spite of declining physical abilities, embarks on a nationwide campaign for healthcare reform.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ81Fw3ld_SD-qQMGo43J1dfi6cL5C4VTs4IoPNIYeLliawBzBnfGvpH0nicRBA-v1Keiap
1294,Cryptozoo,"Animation,Fantasy",en,"Cryptozookeepers try to capture a Baku, a dream-eating hybrid creature of legend, and start wondering if they should display these beasts or keep them hidden and unknown.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRVpx-Rr1S8FNzbLRgnVTPsEUxaj7uZgUKaJMxnqLznqHAlDVeRhqWiEIgo1TdZF0s_ewgZQ
1319,Show Me the Father,Documentary,en,"Everyone has a unique father story. Whether positive or painful, it's always personal and can deeply affect the core of our identity and direction of our lives. Providing a fresh perspective on the roles of fathers in today’s society, SHOW ME THE FATHER invites you to think differently about how you view your earthly father, and how you personally relate to God.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTCEXg9evkZu0n28K1PT6Pw8uEXYLx4kE5f9-zcNS0WIlXSrfAH
1341,The Many Saints of Newark,Crime,en,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSIPkx4oSRdVqlHK7A4--X4Y596I4IuL_ZOo7shZtEv2Pik-8-I7jM7ar9V7F2nr-1HWHUNjw
1366,The Harder They Fall,Western,en,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbVDKXTTuXJMvKtH5hRm9_TmuEh3ssVJrhVx_3bq_ry7QRgWAZB8srWDuQD9Ms28-ILkvi
1415,Rumble,"Animation,Family",en,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father’s footsteps by coaching a loveable underdog monster into a champion.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRzfIJgm_vcy1PrNwUGXTVOY2fx7qfquVoLstn2naGvgU3OlJJZN91RxV3P6dLxIguugfGfPg
1422,Sing 2,"Animation,Family",en,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcThtcNpKKc5W2Z8oevpj6Hq_oH1tqaDJksHKK035C5_lLlh0rSJoXIF09UgV7FiWChNFo3fCw
