 ,Title,genres,original_language,overview,poster_path
4002,Surkhi Bindi,Drama,pu,"Rano grew up dreaming of marrying a Prince Charming from Canada, but soon realises she will not be able to attract a groom from there. Her world falls apart when she is forced to marry Sukha, who she dislikes.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRxJqsjBjjZ-ZlszckoOKf4M5R5JK-2ZBbduU3Pm5G0LnmLXnAD8Kr6BeIFBfS7Apa9wvsfdw
4003,Parahuna,Drama,pu,"Set in the 90's, the film revolves around how the forced respect for the son-in-laws of the family serves as an obstacle in the marriage functions and also, their contribution in uniting new love lives.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6XsG7tuI6ZHZB5xUt2ShT95yJoeFLcBdPi7Ltn4tjV1AG88IR6JUgawLztiTdS7WnK6-s8A
4004,Chaar Sahibzaade,"Drama, Animation, Devotional",pu,"Ajit Singh, Jujhar Singh, Zorawar Singh, and Fateh Singh, the four sons of Guru Gobind Singh Ji, sacrifice their lives in an important battle against the Mughals.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTYSW_x0EMtOwXf0jzNu4p_jeNQlAWkfVgUACJPcSbFKoOOH6l185Io7PCdR8ufrnepRodf-g
4005,Aate Di Chidi,"Drama, Comedy",pu,"A Punjabi family who resides in Canada, decides to return to India, which makes the elder members happy. However, the different approaches of the young and the old generations turn things chaotic.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRh-oKDi8IkRmHy8iws6CnnHWTzJoa1HfAJ07_j4QMWlsqyxEgG
4006,Love Punjab,"Drama, Family",pu,"A child who is suffering from depression due to his parents' fights is told to visit his hometown by his psychiatrist. As he spends his days there with his relatives, he starts to recover.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcxe-YHuV5SW7mDn0zIjUjx0Hcm1_wcZWhzoqhy9BhIymXGxL6YdZ2DjBi9UFL5ZEqCAsx
4007,Channa Mereya,"Drama, Romance",pu,"Kainat and Jagat try to keep their relationship a secret due to the stark difference in their social status. When Kainat's influential father and brother learn about this, they swear to separate them.",https://xstreamcp-assets-msp.streamready.in/assets/ZEEFIVE/MOVIE/66ff63233692ed5c6878a1ed/images/630x945withlogo2474a00c857f41c4ab2066a7e9cd353e.jpg
4008,Mittran Da Naa Chalda,"Drama, Comedy",pu,"Laadi leaves his studies due to his stammering. Years later, he finds employment with his uncle, a lawyer, and chooses to defend four women charged with murder.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTcWOIB0r10SiuPSnd-YTdxNP668oeg99uV6fmbgkV5vutg5Rp2ndcKngVOwqMRj_yacyNhNA
4009,Bhaji In problem,"Drama, Comedy",pu,Sundeep leads a double life when he marries two women and keeps them from one another. His carefully planned life unravels when an old friend who knows his secret arrives looking to fall in love.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR7w4a8BbjgoaBYPRbvDLPqvyOvJtXmGPTHU2KQoQT9d42c5qbcfrMK6pKtqyLRMbriqZUu9g
4010,Babe Bhangra Paunde Ne,"Drama, Comedy",pu,"From selling underwear to adopting a father for insurance benefits, Diljit will stop at nothing for him and his friends to become the three richest men in the world.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTAAf4ublo_aalJRTGAndQyE97erIZN4q__HjbpWZu2mirkmcf8pG62rilDR-cH0ft0adHW
4011,Kali Jotta," Drama, Romance",pu,A budding lawyer finds out about the injustice suffered by her school teacher Rabia in a male-dominated society and fights for her.,https://img.airtel.tv/unsafe/fit-in/1600x0/filters:format(webp)/https://xstreamcp-assets-msp.streamready.in/assets/CHAUPAL/MOVIE/64770dfd59fcb666645f36bf/images/0c0ab0efb2399c14e6d8633e438c557e?o=production
4012,Lahoriye,Romance,pu,"Kikkar Singh, a Sikh man from India, and Ameeran, a Muslim woman from Pakistan, fall in love. However, tragedy strikes during the partition of India, forcing them to separate.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL5OMgilo2RH9bn9JUlBObDxtxK-GPXHPx6oJJJqb0e9n7m7y3Ldf1Gpl1KMl_P5WCD4t8HA
4013,Goreyan Nu Dafa Karo,"Drama, Romance",pu,"This comical movie is a Punjabi Example of West-East Conciliation. The movie is about a Punjabi boy, Roop, who hails from a family which sees Englishmen with vengeance. Roop falls in love with a Caucasian girl and wants to marry her.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQsx_PFP2Ch3p8s2fCjwYE1Ddg65PuqgD7D-WuInH-NseMpWoID3Af5F-LTGteBZpiuA6K5
4014,Angrez,"Romance, Comedy",pu,"Geja falls in love with Maarho. When her family learns of their relationship, it is scorned upon.Before their love fully blooms, a rich man enters Maarho's life and Geja finds solace in Dhan Kaur.",https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Angrez.jpg/220px-Angrez.jpg
